Name,Type,RA_J2000,Dec_J2000,z,D_L (Mpc),log(L_IR/L_Sun),L_IR (E11 Lsun),L_14-195keV (E42 ergs/s),log(L_IR) (L_Sun),P_CT,log10(Msun),Citation
IRAS F02401-0013,CT AGN,40.6696,-0.013286,0.0038,15.9,11.4,,,,,,Johnstone et al
IRAS F12590+2943,CT AGN,195.353611,29.31092,0.0232,111.0,11.38,,,,,,Johnstone et al
IRAS 13120–5453,CT AGN,198.776395,-55.156326,0.0308,144.0,12.32,,,,,,Johnstone et al
IRAS F13229–2934,CT AGN,201.43345,-29.83344,0.0137,60.9,11.3,,,,,,Johnstone et al
IRAS F16504+0228 North,CT AGN,253.245295,2.400926,0.0245,116.0,11.93,,,,,,Johnstone et al
IRAS F16504+0228 South,CT AGN,253.245295,2.400926,0.0245,116.0,11.93,,,,,,Johnstone et al
IRAS 20264+2533,CT AGN,307.14614,25.733362,0.0139,64.2,11.11,,,,,,Johnstone et al
IRAS F21453-3511,CT AGN,327.081366,-34.951248,0.0162,72.7,11.42,,,,,,Johnstone et al
IRAS F23254+0830,CT AGN,351.986263,8.778966,0.0289,125.0,11.56,,,,,,Johnstone et al
IRAS 17208−0014,CON,260.84146,-0.28354,0.0428,183.0,,25.0,,,,,Nishimura et al
IRAS 09022−3615 ,U/LIRG,136.05292,-36.45042,0.0596,253.0,,18.0,,,,,Nishimura et al
IRAS 13120−5453 ,U/LIRG,198.7764,-55.15633,0.0311,135.0,,18.0,,,,,Nishimura et al
IRAS F14378−3651,U/LIRG,220.24589,-37.07552,0.0682,295.0,,14.0,,,,,Nishimura et al
IRAS F05189−2524*,U/LIRG,80.25582,-25.36256,0.0427,176.0,,13.0,,,,,Nishimura et al
IRAS F10565+2448*,U/LIRG,164.82556,24.54293,0.0431,184.0,,11.0,,,,,Nishimura et al
IRAS 19542+1110*,U/LIRG,299.14746,11.3175,0.0626,264.0,,10.0,,,,,Nishimura et al
ESO 148−IG002*,U/LIRG,348.94484,-59.05436,0.0446,185.0,,10.0,,,,,Nishimura et al
NGC 6240*,U/LIRG,253.24529,2.40093,0.0243,106.0,,7.0,,,,,Nishimura et al
IRAS F17138−1017,U/LIRG,259.14924,-10.3445,0.0173,77.3,,2.6,,,,,Nishimura et al
IRAS 17578−0400,CON,270.13285,-4.0147,0.0134,60.0,,2.3,,,,,Nishimura et al
ESO 173−G015,U/LIRG,201.84954,-57.48962,0.01,32.7,,2.2,,,,,Nishimura et al
UGC 11763*,U/LIRG,323.11593,10.13868,0.0633,265.0,,2.2,,,,,Nishimura et al
NGC 3110,U/LIRG,151.00869,-6.47488,0.0169,74.3,,2.0,,,,,Nishimura et al
IC 4734,U/LIRG,279.60713,-57.4903,0.0156,67.8,,1.9,,,,,Nishimura et al
NGC 5135,U/LIRG,201.43345,-29.83344,0.0137,52.6,,1.5,,,,,Nishimura et al
ESO 221−IG10,U/LIRG,207.73719,-49.05527,0.0105,59.0,,1.5,,,,,Nishimura et al
IC 5179,U/LIRG,334.03804,-36.84373,0.0113,47.3,,1.5,,,,,Nishimura et al
UGC 2982,U/LIRG,63.09413,5.54721,0.0177,70.6,,1.5,,,,,Nishimura et al
NGC 2369,U/LIRG,109.15694,-62.34346,0.0108,44.6,,1.3,,,,,Nishimura et al
ESO 286−G035,U/LIRG,316.04636,-43.59302,0.0174,73.2,,1.3,,,,,Nishimura et al
ESO 320−G030,CON,178.29881,-39.13026,0.0103,36.0,,1.1,,,,,Nishimura et al
NGC 5734,U/LIRG,221.28772,-20.87036,0.0136,60.2,,1.1,,,,,Nishimura et al
IRAS 17208-0014,ULIRG,260.84166666666664,-0.2836111111111111,0.0428,183.0,,25.0,,,,,Falstad et al
IRAS F14348-1447,ULIRG,219.4083333333333,-15.006666666666666,0.083,362.0,,20.0,,,,,Falstad et al
IRAS F12112+0305,ULIRG,183.44166666666666,2.8115277777777776,0.0733,318.0,,19.0,,,,,Falstad et al
IRAS 13120-5453,ULIRG,198.77499999999998,-55.156388888888884,0.0311,135.0,,18.0,,,,,Falstad et al
IRAS 09022-3615,ULIRG,136.05416666666665,-36.45027777777778,0.0596,253.0,,18.0,,,,,Falstad et al
Arp 220,ULIRG,233.73749999999995,23.502916666666668,0.0181,81.8,,16.0,,,,,Falstad et al
IRAS F14378-3651,ULIRG,220.2458333333333,-37.07555555555556,0.0682,295.0,,14.0,,,,,Falstad et al
IRAS F22491-1808,ULIRG,342.95416666666665,-17.873333333333335,0.0778,328.0,,13.0,,,,,Falstad et al
NGC 1614,LIRG,68.49999999999999,-8.579166666666666,0.0159,64.1,,4.0,,,,,Falstad et al
NGC 7469,LIRG,345.81666666666666,8.873694444444444,0.0164,66.5,,3.9,,,,,Falstad et al
NGC 3256,LIRG,156.96249999999998,-43.90472222222222,0.0094,36.1,,3.7,,,,,Falstad et al
IRAS F17138-1017,LIRG,259.15,-10.34388888888889,0.0173,77.3,,2.6,,,,,Falstad et al
IRAS 17578-0400,LIRG,270.1333333333333,-4.015,0.0134,60.0,,2.3,,,,,Falstad et al
