Name,Type,RA_J2000,Dec_J2000,z,D_L (Mpc),log(L_IR/L_Sun),L_IR (E11 Lsun),L_14-195keV (E42 ergs/s),log(L_IR) (L_Sun),P_CT,log10(Msun),Citation
IRAS F02401-0013,CT AGN,40.6696,-0.013286,0.0038,15.9,11.40,,,,,,Johnstone et al
IRAS F12590+2943,CT AGN,195.353611,29.31092,0.0232,111.0,11.38,,,,,,Johnstone et al
IRAS 13120–5453,CT AGN,198.776395,-55.156326,0.0308,144.0,12.32,,,,,,Johnstone et al
IRAS F13229–2934,CT AGN,201.43345,-29.83344,0.0137,60.9,11.30,,,,,,Johnstone et al
IRAS F16504+0228 North,CT AGN,253.245295,2.400926,0.0245,116.0,11.93,,,,,,Johnstone et al
IRAS F16504+0228 South,CT AGN,253.245295,2.400926,0.0245,116.0,11.93,,,,,,Johnstone et al
IRAS 20264+2533,CT AGN,307.14614,25.733362,0.0139,64.2,11.11,,,,,,Johnstone et al
IRAS F21453-3511,CT AGN,327.081366,-34.951248,0.0162,72.7,11.42,,,,,,Johnstone et al
IRAS F23254+0830,CT AGN,351.986263,8.778966,0.0289,125.0,11.56,,,,,,Johnstone et al
IRAS 17208−0014,CON,260.84146,-0.28354,0.0428,183,,25,,,,,Nishimura et al
IRAS 09022−3615 ,U/LIRG,136.05292,-36.45042,0.0596,253,,18,,,,,Nishimura et al
IRAS 13120−5453 ,U/LIRG,198.7764,-55.15633,0.0311,135,,18,,,,,Nishimura et al
IRAS F14378−3651,U/LIRG,220.24589,-37.07552,0.0682,295,,14,,,,,Nishimura et al
IRAS F05189−2524*,U/LIRG,80.25582,-25.36256,0.0427,176,,13,,,,,Nishimura et al
IRAS F10565+2448*,U/LIRG,164.82556,24.54293,0.0431,184,,11,,,,,Nishimura et al
IRAS 19542+1110*,U/LIRG,299.14746,11.3175,0.0626,264,,10,,,,,Nishimura et al
ESO 148−IG002*,U/LIRG,348.94484,-59.05436,0.0446,185,,10,,,,,Nishimura et al
NGC 6240*,U/LIRG,253.24529,2.40093,0.0243,106,,7,,,,,Nishimura et al
IRAS F17138−1017,U/LIRG,259.14924,-10.3445,0.0173,77.3,,2.6,,,,,Nishimura et al
IRAS 17578−0400,CON,270.13285,-4.0147,0.0134,60,,2.3,,,,,Nishimura et al
ESO 173−G015,U/LIRG,201.84954,-57.48962,0.01,32.7,,2.2,,,,,Nishimura et al
UGC 11763*,U/LIRG,323.11593,10.13868,0.0633,265,,2.2,,,,,Nishimura et al
