ra,dec,w1mpro
40.6695749,-0.0132568,4.541
195.3522315,29.308426,10.585
198.776401,-55.1563095,9.765
201.4334922,-29.8334186,9.14
253.2453862,2.4010164,9.341
253.2453862,2.4010164,9.341
307.1461414,25.7333931,9.689
327.0813511,-34.951221,9.795 
351.9862653,8.779001,9.272
260.8415258,-0.2835447,10.782
136.0529481,-36.4504106,10.76
198.776401,-55.1563095,9.765
220.2458995,-37.0755285,12.275
80.2558174,-25.362566,8.663
164.8255839,24.5429688,10.898
299.1491276,11.3180707,11.482
348.9447956,-59.0540336,10.868
253.2453862,2.4010164,9.341
259.1492512,-10.3444766,9.739
270.1328679,-4.0147198,10.476
201.8495463,-57.4896185,9.416
323.1159203,10.1387138,9.521
151.0088005,-6.4748942,9.945
279.607162,-57.4903543,10.01
201.4334922,-29.8334186,9.14
207.7372604,-49.0552846,9.932
334.038023,-36.8435768,9.517
63.0940433,5.5473573,9.863
109.1569518,-62.343473,9.219
316.0463266,-43.5929884,10.093
178.2988739,-39.1302755,9.333
221.287741,-20.8703382,9.351
260.8415258,-0.2835447,10.782
219.4097286,-15.0063966,12.126
183.4416914,2.8112128,12.233
198.776401,-55.1563095,9.765
136.0529481,-36.4504106,10.76
233.7385494,23.5032116,10.068
220.2458995,-37.0755285,12.275
342.9541802,-17.87214,14.414
68.5001319,-8.579154,9.149
345.815034,8.8739239,8.552
156.9636805,-43.9040346,8.298
259.1503662,-10.3433305,12.183
270.1328679,-4.0147198,10.476
327.0813511,-34.951221,9.795
201.8495463,-57.4896185,9.416
151.0088005,-6.4748942,9.945
279.607162,-57.4903543,10.01
228.3045893,7.2254924,11.041
201.4334922,-29.8334186,9.14
207.7372604,-49.0552846,9.932
334.038023,-36.8435768,9.517
63.0940433,5.5473573,9.863
316.0463266,-43.5929884,10.093
186.7275567,-0.8775552,10.75
109.1569518,-62.343473,9.219
221.287741,-20.8703382,9.351
178.2988739,-39.1302755,9.333
40.6695749,-0.0132568,4.541
76.9266357,-37.5129745,7.456
184.7068143,14.4164896,9.537
185.4788866,4.4738209,9.027
25.759721,13.6458665,8.035
188.5354189,2.6540637,8.267
170.0625781,12.9916451,8.18
23.5758904,-29.418601,8.807
191.2860729,-0.4620655,8.342
76.3100443,-37.9805835,9.539
187.996558,14.4203164,8.769
188.6128044,2.1882784,8.518
218.1696516,-44.1744221,9.409
170.0707207,13.5889737,8.791
64.400287,-62.7835066,10.382
204.3835276,8.8852321,9.125
175.2449859,11.4712536,9.851
190.9859084,13.1265805,10.273
40.4383024,0.4438501,9.256
6.3848939,68.3624764,10.259
16.361752,-42.2161834,10.941
17.2202836,13.3373471,11.808
17.8651334,-38.0834688,8.11
20.6433763,50.054995,10.952
22.4631184,-42.3264546,11.077
NA,NA,NA
40.6695749,-0.0132568,4.541
42.6773903,54.7048879,10.608
42.6686876,41.6716451,10.146
42.918532,-16.6506268,10.37
45.9545834,-1.1036886,9.68
47.0451163,-22.9602214,11.271
59.0831669,-62.8608909,10.194
91.4222036,-86.6316783,9.168
NA,NA,NA
95.9433993,-32.2165059,10.538
104.0497208,-49.3305777,11.307
108.5160411,35.2792914,9.434
115.6737611,65.1771079,10.87
130.9374468,35.8284572,11.853
135.6644914,-68.2268162,10.072
139.8050072,55.4653235,11.723
140.9738993,-31.691941,11.948
143.9650055,61.3532979,10.007
149.8731136,-22.8263077,9.691
150.4909297,55.6798834,8.385
157.8463597,-42.0606061,9.875
158.3155234,52.8717019,11.196
162.0978085,-25.1620333,9.965
168.5111323,20.3887062,11.51
179.7192773,42.570354,10.728
181.5961586,52.7110744,8.177
183.2628826,7.0389695,9.685
183.2888286,32.5963834,11.377
196.0546147,-5.5515681,9.72
196.3642611,-49.4680678,7.739
213.2914467,-65.3391019,4.829
214.2652986,-46.6947738,11.534
218.1696516,-44.1744221,9.409
220.5994842,-17.2529872,9.347
221.4035708,27.0349174,11.132
248.8083552,-58.0799344,9.908
250.8345639,70.6325503,10.951
253.2453862,2.4010164,9.341
NA,NA,NA
303.7469269,25.3836803,11.783
307.1470721,66.6148246,14.562
310.0657638,-51.429657,11.307
327.0813511,-34.951221,9.795
331.7583099,10.2336587,10.728
346.2359519,12.3229896,9.705
350.601969,-6.7605133,11.251
2.777276,-12.107628,9.86
4.7081875,-10.3669577,14.095
10.6908554,-23.5613889,9.837
16.9478439,-17.5069766,9.571
17.5372715,-16.8527683,10.253
20.0109763,14.3618126,10.836
24.720232,-10.4532417,12.644
26.1272286,17.1024305,11.495
27.8095448,22.5822311,10.074
37.6784821,-2.9389486,10.118
41.5729321,13.0957567,9.927
NA,NA,NA
54.6961437,15.5482447,11.89
63.0940433,5.5473573,9.863
65.3333181,-18.8108157,11.059
68.5001319,-8.579154,9.149
80.2558174,-25.362566,8.663
129.600336,25.7546747,10.554
135.1057342,39.0651052,10.254
138.9779557,44.3310887,11.531
143.9650055,61.3532979,10.007
144.1550532,48.4744061,10.797
146.5844396,3.0586864,16.955
151.0088005,-6.4748942,9.945
155.0008783,8.2261148,12.839
164.8255839,24.5429688,10.898
165.9748126,40.8500709,11.12
170.3010379,-2.984093,10.188
171.4377862,14.6767069,11.204
NA,NA,NA
183.4416914,2.8112128,12.233
186.2663566,-6.6812358,12.858
194.0593522,56.8737158,7.446
NA,NA,NA
195.7182345,-23.9215919,10.684
198.7646464,24.6188544,10.953
NA,NA,NA
200.1472652,34.1395313,10.507
200.3463477,0.3425842,9.843
200.6019636,-16.7284314,9.372
201.4334922,-29.8334186,9.14
204.572002,48.2759036,10.5
204.9812757,0.835438,15.708
206.1754494,55.8870304,10.397
214.9301972,49.236664,10.947
219.4097286,-15.0063966,12.126
224.2511117,24.6115636,12.779
228.3045893,7.2254924,11.041
229.5255779,42.7457807,11.034
231.7475888,35.9770904,12.347
233.7385494,23.5032116,10.068
242.919891,52.4574881,10.622
247.7355578,4.0828773,10.303
NA,NA,NA
258.5847617,53.1753715,11.094
337.8561705,-19.0344265,10.251
342.9555027,-17.8732549,12.74
345.8225501,8.8832011,16.32
346.23557,19.5523001,10.756
349.0028308,25.5567101,10.467
NA,NA,NA
NA,NA,NA
357.853632,20.1117848,9.449
357.8614851,20.5862084,9.644
